PS_BI,

noun1,noun2,normed_freq
population,pressure,0.07
reproduction,darwin,0.07
nature,selection,0.07
selection,implies,0.07
basal,snakes,0.07
pelvic,girdles,0.07
hind,limbs,0.07
locomotion,chapter,0.07
length,snout,0.07
serpents,resembles,0.07
left,lung,0.07
right,lung,0.07
body,cavity,0.07
air,storage,0.07
storage,area,0.07
turn,empties,0.07
gonads,ovaries,0.07
snakes,tantilla,0.07
polemon,notatus,0.07
fossorial,creatures,0.07
penis,name,0.07
squamate,hemipenis,0.07
blood,sinuses,0.07
muscle,action,0.07
action,semen,0.07
semen,travels,0.07
sulcus,spermaticus,0.07
female's,cloaca,0.07
retractor,muscle,0.07
squamate,arrangement,0.07
recovery,time,0.07
tracts,hemipenes,0.07
spines,papillae,0.07
subadult,son,0.07
subadult,male,0.07
departure,call,0.07
yearling,frozen,0.07
lab,coats,0.07
mother's,actions,0.07
mother,tradition,0.07
mother's,demonstration,0.07
bridge,makers,0.07
bridge,maker,0.07
life,span,0.07
darkness,mire,0.07
concept,disease,0.07
disease,meaning,0.07
death,degeneration,0.07
inner,environment,0.07
kuru,syndrome,0.07
distance,kuru,0.07
home,alzheimer's,0.07
alzheimer's,presence,0.07
host,let's,0.07
takeover,angels,0.07
genomes,today,0.07
board,ban,0.07
sex,education,0.07
education,birth,0.07
birth,control,0.07
prenatal,care,0.07
abortion,issue,0.07
issue,rick,0.07
blood,vessels,0.07
press,conference,0.07
abortion,debate,0.07
senator's,coat,0.07
spoke,volumes,0.07
primate,order,0.07
status,male,0.07
male,primates,0.07
matter,passionate,0.07
passionate,debates,0.07
abortion,derive,0.07
history,male,0.07
male,fascination,0.07
wrath,homosexuals,0.07
retribution,fundamentalists,0.07
process,acts,0.07
evolutionists,aids,0.07
death,approaches,0.07
approaches,patient,0.07
creatures,descendants,0.07
whales,men,0.07
aids,virus,0.07
telescope,evolution,0.07
darwinism,creationists,0.07
land,animals,0.07
marine,mammals,0.07
udder,failure,0.07
centaurs,dryads,0.07
life,cycle,0.07
death,likewise,0.07
civilization,degenerating,0.07
decrepitude,pompeii,0.07
senate,come,0.07
time,humans,0.07
human,condition,0.07
caesars',legions,0.07
century,naturalists,0.07
neanderthals,archeologists,0.07
dark,ages,0.07
aristotle's,scala,0.07
scala,naturae,0.07
creation,motif,0.07
life's,forms,0.07
gentler,land,0.07
beothuk,tribe,0.07
john,cabot,0.07
greenless,greenland,0.07
barren,shores,0.07
winter,air,0.07
woodlike,plank,0.07
century,norsemen,0.07
cod,markets,0.07
mediterranean,world,0.07
sea,salt,0.07
times,egyptians,0.07
century,refrigerator,0.07
basque,whalers,0.07
humid,weather,0.07
freezing,process,0.07
space,differences,0.07
species,sites,0.07
sites,heights,0.07
time,differences,0.07
forest,canopy,0.07
extreme,toughness,0.07
toughness,rarity,0.07
temperate,bias,0.07
treetops,herbivores,0.07
leaves,evidence,0.07
insect,plant,0.07
plant,interactions,0.07
training,monkey,0.07
telephoto,cameras,0.07
cliff,edges,0.07
eye,level,0.07
data,collection,0.07
family,cunoniaceae,0.07
temperate,rain,0.07
photosynthesis,measurements,0.07
sydney,coachwood,0.07
study,species,0.07
timber,species,0.07
seat,belt,0.07
speech,deficiencies,0.07
humanlike,hominids,0.07
eve,theory,0.07
asians,africans,0.07
africans,australians,0.07
erectus,populations,0.07
foremost,proponent,0.07
homo,sapiens,0.07
work,subject,0.07
gene,flow,0.07
human,attributes,0.07
eve,hypothesis,0.07
milford,wolpoff,0.07
william,howells,0.07
peabody,museum,0.07
harvard,university,0.07
study,frayer,0.07
asians,europeans,0.07
incisor,teeth,0.07
fossil,hominids,0.07
living,creatures,0.07
water,earth,0.07
suborder,grues,0.07
world,limpkins,0.07
cosmopolitan,jacanas,0.07
carl,yon,0.07
yon,linné,0.07
systema,naturae,0.07
crane,ardea,0.07
ardea,grus,0.07
crane,heron,0.07
century,audubon,0.07
crane,herons,0.07
ireland,scotland,0.07
south,america,0.07
distance,cranes,0.07
flight,display,0.07
crane,tails,0.07
trailing,plumes,0.07
herons,cranes,0.07
hind,toe,0.07
genus,balearica,0.07
perching,habit,0.07
genus,grus,0.07
grus,—primitive,0.07
behavior,balearica,0.07
cranes,share,0.07
genus,anthropoides,0.07
skin—bright,crimson,0.07
sarus,brolga,0.07
tails,peacocks,0.07
lighter,drabber,0.07
drabber,tails,0.07
iridescent,blue,0.07
bronze,eye,0.07
eye,spots,0.07
art,morality,0.07
morality,language,0.07
creativity,gallup,0.07
gallup,poll,0.07
