PS_HI,

noun1,noun2,frequency
labor,costs,0.06
wage,increases,0.06
labor,movement,0.06
president,harry,0.06
fuel,shortages,0.06
advertising,lights,0.06
trolley,cars,0.06
railway,stations,0.06
ferry,terminals,0.06
york,times,0.06
war,draft,0.06
draft,riots,0.06
film,noir,0.06
unreality,hung,0.06
dream,quality,0.06
tugboat,strike,0.06
tsar,alexander,0.06
alexander,i,0.06
century,diplomacy,0.06
lack,thereof,0.06
northeast,asia,0.06
ancient,empire,0.06
expansionist,impulses,0.06
confederate,citizens,0.06
deputy,executive,0.06
executive,director,0.06
war,battles,0.06
confederate,armies,0.06
success,hang,0.06
a.,o'neal,0.06
drooping,spirits,0.06
potomac,river,0.06
remind,northerners,0.06
philip,h.,0.06
h.,sheridan,0.06
shenandoah,valley,0.06
cherokee,delegate,0.06
confederate,congress,0.06
bloody,thoughts,0.06
thoughts,intent,0.06
confidence,born,0.06
peace-loving,nations,0.06
opening,session,0.06
founding,conference,0.06
labor,secretary,0.06
secretary,frances,0.06
frances,perkins,0.06
war,zone,0.06
victory,tour,0.06
visit,[,0.06
spring,flowers,0.06
future,un,0.06
dumbarton,oaks,0.06
bretton,woods,0.06
world,bank,0.06
minnesota,governor,0.06
governor,harold,0.06
harold,stassen,0.06
state,john,0.06
john,foster,0.06
foster,dulles,0.06
senator,arthur,0.06
arthur,vandenberg,0.06
minority,member,0.06
relations,committee,0.06
chief,concern,0.06
party,official,0.06
official,milovan,0.06
milovan,djilas,0.06
nothing,sweeter,0.06
shrewd,observer,0.06
massachusetts,bay,0.06
saint,augustine,0.06
santa,fe,0.06
colonial,society,0.06
salient,parts,0.06
la,florida,0.06
year,coronado,0.06
expedition,inland,0.06
gulf,coast,0.06
makeshift,barges,0.06
exploration,odysseys,0.06
report,cabeza,0.06
colonial,america,0.06
natural-rights,ideology,0.06
vanguard,emancipator,0.06
property,systems,0.06
emancipation,laws,0.06
philadelphia,blacks,0.06
life,experience,0.06
bay,state,0.06
state,blacks,0.06
samuel,adams,0.06
state,assistance,0.06
ohio,river,0.06
slave,states,0.06
manumission,law,0.06
freed,blacks,0.06
state,societies,0.06
